년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),sp평균상대습도(%),sp최소상대습도(%),su평균상대습도(%),su최소상대습도(%),fa평균상대습도(%),fa최소상대습도(%),sp평균현지기압(hPa),sp평균해면기압(hPa),sp최고해면기압(hPa),sp최저해면기압(hPa),su평균현지기압(hPa),su평균해면기압(hPa),su최고해면기압(hPa),su최저해면기압(hPa),fa평균현지기압(hPa),fa평균해면기압(hPa),fa최고해면기압(hPa),fa최저해면기압(hPa),sp합계일조시간(hr),sp합계전천일사량(MJ/㎡),su합계일조시간(hr),su합계전천일사량(MJ/㎡),fa합계일조시간(hr),fa합계전천일사량(MJ/㎡),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm),sp평균풍속(m/s),sp최대풍속(m/s),su평균풍속(m/s),su최대풍속(m/s),fa평균풍속(m/s),fa최대풍속(m/s)
1980,충청북도,7616,883,67247,67.5,13.5,78.7,28.3,83.5,39.0,1011.9,1019.4,1029.2,1003.6,1002.9,1009.9,1019.7,997.0,1005.3,1012.4,1020.2,997.8,228.2,689.0,223.0,914.5,204.2,858.9,7.2,13.7,0.8,521.4,20.1,25.7,15.1,1398.5,19.8,25.3,15.4,771.8,2.1,10.0,1.6,9.2,1.2,6.3
1981,강원도,1536,671,10307,68.0,26.0,80.3,43.7,88.0,49.0,1015.8,1021.2,1037.8,1006.8,1008.9,1013.6,1022.8,1000.4,1009.8,1015.3,1028.1,1003.0,258.2,1234.5,270.7,1364.5,238.8,1135.4,7.5,14.3,1.4,409.6,19.5,25.1,14.5,1672.2,19.8,25.5,15.1,1859.6,2.5,11.8,2.0,9.5,1.4,8.1
1981,경기도,3643,373,13588,72.0,20.5,78.7,34.0,83.5,32.0,1013.4,1017.8,1029.2,1004.0,1005.5,1009.8,1018.2,999.4,1005.8,1010.0,1019.9,997.0,249.0,1291.4,249.3,1176.0,224.2,982.9,8.0,15.2,1.3,162.9,20.7,26.2,15.6,740.9,21.1,26.8,16.4,730.6,1.5,7.5,1.1,6.3,0.8,4.8
1981,경상남도,1821,987,17973,69.0,26.5,79.0,36.0,81.5,40.5,1017.6,1017.0,1029.5,1003.2,1010.4,1009.7,1018.3,998.5,1010.0,1009.6,1019.4,992.6,251.0,830.1,234.2,984.6,236.2,914.3,10.2,16.8,3.8,395.5,21.4,26.6,16.5,1345.8,22.2,27.6,17.8,2234.8,2.0,9.6,1.7,8.9,1.3,8.6
1981,경상북도,23697,1440,341237,66.0,27.0,76.0,40.3,83.0,50.0,1019.1,1017.6,1031.4,1004.0,1012.3,1010.6,1018.7,999.0,1013.2,1011.7,1021.2,996.8,264.0,865.1,262.7,1054.2,236.9,964.9,9.2,15.4,3.2,366.7,20.9,26.2,15.8,843.7,21.0,26.3,16.4,2069.4,2.6,11.6,2.0,9.6,1.7,9.2
1981,부산광역시,0,0,0,65.0,28.5,79.7,43.0,78.0,44.0,1007.8,1016.2,1028.7,1001.8,1001.5,1009.7,1017.5,998.0,1001.2,1009.4,1018.7,993.0,225.6,521.2,180.4,516.8,195.8,496.7,11.1,16.0,7.2,67.5,20.7,24.4,17.9,156.4,23.2,27.4,20.1,252.0,4.2,16.8,3.8,18.8,3.8,16.2
1981,서울특별시,0,0,0,63.5,24.0,72.7,34.7,74.0,33.0,1006.2,1016.8,1028.6,1003.4,998.6,1008.8,1017.0,997.8,999.2,1009.2,1019.2,997.0,220.4,407.4,193.0,376.3,194.0,363.4,8.8,14.6,4.0,55.4,21.0,25.7,17.2,217.9,22.2,26.8,18.5,161.0,2.8,11.5,2.8,13.1,2.2,8.0
1981,전라남도,825,226,1865,74.0,27.0,81.3,38.0,81.5,43.0,1018.2,1018.0,1028.4,1005.1,1013.5,1010.5,1018.7,999.1,1013.0,1009.9,1019.8,993.0,237.0,1021.1,244.8,1405.7,252.2,1137.4,9.8,15.4,4.6,297.0,21.1,26.0,17.0,1165.8,23.0,28.0,19.2,2467.7,2.7,10.5,2.1,10.1,2.2,11.8
1981,전라북도,2059,525,10810,76.0,25.0,81.7,35.3,83.5,39.5,1017.4,1019.8,1028.4,1004.3,1009.0,1011.8,1018.0,999.5,1008.7,1011.6,1019.2,994.4,235.6,1005.3,250.8,1098.9,237.0,977.0,8.5,15.4,2.5,227.8,21.3,26.8,16.2,1047.9,22.0,27.6,17.4,1419.0,1.9,9.2,1.7,8.0,1.6,9.4
1981,제주도,0,0,0,70.5,27.0,80.3,33.3,80.5,44.0,1017.6,1017.4,1027.2,1004.6,1010.0,1009.8,1018.0,995.9,1009.0,1008.5,1018.2,992.5,211.0,820.8,244.4,1063.7,219.2,964.2,11.6,15.4,7.4,287.8,21.9,25.4,18.4,478.3,24.4,27.8,21.2,1098.1,3.3,12.4,2.6,10.4,3.2,12.7
