년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),합계일조시간(hr),합계전천일사량(MJ/㎡),평균상대습도(%),최소상대습도(%),평균풍속(m/s),최대풍속(m/s),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm)
1987,부산광역시,0,0,0,18.3,22.4,15.1,173.7,178.7,422.8,72.6,32.4,3.9,16.4,1003.9,1012.2,1021.7,993.5,10.6,15.4,6.8,82.0,20.6,24.4,17.4,220.9,22.6,26.3,20.0,194.6
1987,서울특별시,2,1787,36,17.5,22.1,13.4,225.8,188.7,466.8,75.0,32.9,2.5,10.5,1002.2,1012.4,1022.0,996.3,7.4,12.4,3.0,44.8,21.0,25.5,16.9,302.7,22.2,26.6,18.6,291.4
1987,인천광역시,1,0,0,16.5,21.0,12.5,439.6,232.0,461.2,77.6,32.4,3.3,14.3,1009.8,1013.0,1021.4,995.6,6.4,11.1,1.9,101.7,19.8,24.2,15.9,545.6,21.6,26.0,18.0,618.4
1987,전라남도,217,796,1728,17.9,22.4,14.1,1186.6,226.2,494.3,83.7,42.4,2.6,12.8,1011.4,1013.5,1022.1,996.4,9.0,14.2,4.4,535.4,20.6,24.9,17.0,1509.7,22.6,26.8,19.4,1353.2
1987,전라북도,800,1568,12544,17.4,23.0,12.7,1131.0,247.7,415.1,84.6,42.7,1.8,9.5,1013.1,1014.9,1022.0,996.3,7.6,13.9,2.3,342.6,20.7,26.1,16.2,1319.8,22.1,27.6,18.0,1636.4
1987,제주도,0,0,0,19.1,22.6,15.6,774.8,183.6,475.7,81.4,43.6,2.9,14.8,1012.5,1014.0,1021.6,993.3,11.1,15.0,7.0,421.7,21.0,24.3,17.7,1011.5,24.2,27.4,21.2,773.0
1987,충청남도,4242,1840,78038,17.1,22.8,12.1,1092.2,291.5,514.9,85.0,39.3,1.6,9.4,1011.9,1015.6,1021.5,995.5,7.1,13.6,1.2,260.5,20.5,26.0,15.7,1343.4,21.8,27.2,17.6,1547.2
1987,충청북도,4159,888,36915,17.0,23.1,11.7,1020.9,218.2,473.4,77.0,30.6,1.5,8.6,1005.4,1012.6,1022.6,996.1,7.3,14.0,1.2,224.8,20.6,26.5,15.2,1227.1,21.2,27.0,16.8,1507.6
1988,강원도,559,1294,7234,16.0,21.4,11.1,1288.8,236.5,518.2,80.6,40.1,2.0,9.3,1012.7,1013.5,1022.8,999.9,6.0,12.2,0.2,325.6,19.2,24.3,14.6,1899.3,21.0,26.2,17.0,1336.3
1988,경기도,2250,1316,29613,17.5,23.7,12.2,351.5,243.5,461.1,74.0,29.7,1.3,6.8,1007.5,1012.0,1020.9,1000.0,7.0,13.8,0.5,126.6,21.0,26.9,16.3,602.4,22.6,29.0,17.8,200.2
1988,경상남도,1190,2020,24033,18.4,23.9,13.6,1055.4,240.3,492.8,76.7,35.9,1.6,8.4,1011.1,1013.0,1021.6,1001.2,9.2,15.3,3.4,785.0,21.2,26.3,16.8,1518.9,23.4,28.8,19.1,630.6
1988,경상북도,28670,1481,424497,17.2,22.7,12.2,1219.1,250.3,405.9,78.6,38.4,2.2,9.5,1011.6,1012.8,1022.1,1000.0,7.8,14.1,1.8,512.0,20.1,25.2,15.3,1762.9,22.2,27.5,17.8,1110.7
1988,광주광역시,0,0,0,18.9,24.3,14.4,102.8,202.2,496.0,70.1,23.9,2.3,9.4,1002.6,1011.1,1019.9,999.7,8.8,14.8,3.6,55.2,22.2,27.4,18.0,163.5,23.9,29.2,19.6,59.5
1988,대구광역시,346,1342,4643,19.0,24.9,14.3,83.9,176.3,455.3,67.3,29.1,3.0,11.5,1005.0,1012.1,1021.3,999.7,9.9,16.2,4.4,47.4,22.0,27.7,17.4,121.7,23.7,29.2,19.5,63.6
1988,대전광역시,0,0,0,18.4,24.1,13.4,122.1,202.1,467.6,66.6,24.4,1.9,10.2,1003.1,1012.2,1021.1,999.9,8.0,14.2,2.2,58.6,22.1,27.4,17.4,188.3,23.4,29.0,18.5,86.6
1988,부산광역시,0,0,0,18.5,22.6,15.5,122.1,202.3,419.2,73.7,38.9,3.9,11.4,1003.2,1011.5,1020.3,999.9,10.1,14.8,6.6,98.1,20.5,24.2,17.8,167.3,24.0,28.0,21.1,78.4
1988,서울특별시,2,2149,43,18.3,23.1,14.2,101.7,206.5,462.1,68.9,35.0,2.5,9.8,1001.9,1012.1,1021.0,1000.1,7.8,12.7,3.4,45.9,21.5,26.2,17.6,166.3,23.9,28.8,19.8,60.5
1988,인천광역시,19,2149,408,17.3,22.0,13.1,237.3,228.9,489.0,72.0,32.0,3.1,12.4,1008.7,1011.9,1020.5,999.8,6.8,11.5,2.2,94.4,20.4,24.9,16.6,401.5,23.0,28.2,18.6,134.0
1988,전라남도,214,1041,2227,18.4,23.1,14.4,670.1,241.3,529.3,79.3,39.1,2.5,10.8,1010.9,1012.4,1021.1,1001.2,8.8,14.2,4.0,518.9,21.0,25.4,17.5,890.9,23.8,28.6,20.0,490.3
1988,전라북도,719,1551,11151,17.7,23.6,12.7,655.1,279.7,497.8,81.0,33.4,1.8,7.9,1010.4,1013.3,1020.7,1000.2,7.2,13.8,1.4,378.9,21.3,26.8,16.8,972.9,22.8,28.7,18.0,454.5
1988,제주도,0,0,0,19.4,22.7,16.2,611.6,214.4,501.2,80.9,45.3,3.7,12.3,1011.7,1013.1,1021.0,999.9,10.8,14.4,7.1,548.2,21.6,24.9,18.7,719.3,24.5,27.6,21.5,513.5
1988,충청남도,4727,1689,79849,17.6,23.5,12.4,464.6,292.7,417.8,79.1,34.3,1.7,8.0,1009.8,1012.4,1020.5,999.4,7.0,13.5,0.8,275.2,21.2,26.5,16.4,717.7,22.8,28.8,17.8,274.5
1988,충청북도,4494,1260,56635,17.3,23.5,11.8,648.4,234.8,489.6,73.1,26.9,1.6,7.9,1005.1,1012.2,1021.6,1000.0,7.0,13.8,0.4,237.7,21.0,26.6,15.8,1078.8,22.0,28.4,17.1,413.4
1989,강원도,602,1990,11980,16.2,21.7,11.2,1392.0,235.0,506.9,79.9,36.0,2.0,9.4,1012.7,1013.4,1024.3,1000.0,7.8,14.0,1.8,625.8,19.1,24.4,14.2,1666.6,20.4,25.2,16.2,1746.4
1989,경기도,2439,1500,36586,17.8,24.0,12.5,469.4,239.7,437.2,69.4,26.9,1.2,7.0,1007.6,1012.0,1021.8,999.0,9.0,16.3,2.2,195.2,20.8,26.6,15.7,556.6,22.3,27.8,17.8,612.8
1989,경상남도,1285,1896,24361,18.6,24.3,13.9,2000.5,246.3,497.4,78.1,34.6,1.7,9.0,1013.5,1015.4,1022.1,1002.3,10.8,17.6,4.8,595.2,20.9,26.3,16.4,2613.5,23.0,27.8,19.2,2486.2
1989,경상북도,31320,1399,438246,17.4,23.0,12.4,1419.3,254.9,453.2,78.7,36.7,2.2,10.3,1011.7,1013.7,1024.4,1001.4,9.4,15.9,3.2,728.8,20.0,25.4,15.1,1620.8,21.6,26.4,17.5,1807.4
1989,광주광역시,0,0,0,18.9,24.3,14.6,244.0,189.8,478.0,72.1,25.9,2.2,9.8,1003.0,1011.4,1020.2,1000.2,10.6,17.2,5.2,49.5,21.3,26.4,17.2,317.1,23.6,28.3,20.0,328.8
1989,대구광역시,366,1604,5872,19.5,25.2,14.8,133.8,188.2,466.9,68.4,24.7,3.1,10.9,1005.1,1012.2,1022.6,1000.9,11.6,18.2,6.0,67.2,22.1,27.7,17.4,152.1,23.6,28.2,19.8,173.1
1989,대전광역시,127,4102,5210,18.7,24.3,13.6,180.2,202.4,475.9,67.6,24.3,1.9,10.1,1003.4,1012.5,1021.8,1000.7,10.2,17.0,4.2,49.4,21.4,26.8,16.5,244.5,23.0,27.8,18.8,214.6
1989,부산광역시,0,0,0,18.9,23.0,15.9,191.5,191.6,416.1,74.3,33.0,4.1,12.2,1003.3,1011.6,1021.3,1001.0,11.7,16.8,8.0,74.8,20.5,24.4,17.6,241.2,23.6,27.2,21.2,233.5
1989,서울특별시,3,2467,74,18.6,23.4,14.4,160.4,201.8,445.3,72.6,36.7,2.4,10.4,1001.8,1012.0,1021.8,999.1,10.2,15.6,5.6,65.4,21.2,26.0,17.1,187.2,23.1,27.4,19.3,215.3
1989,인천광역시,20,2467,493,17.6,22.5,13.3,256.5,235.9,483.0,70.9,27.6,3.0,11.3,1008.7,1011.9,1021.4,998.6,9.0,14.0,4.0,109.8,20.0,24.9,16.1,233.1,22.4,27.2,18.2,438.5
1989,전라남도,246,1153,2835,18.6,23.3,14.7,1079.2,241.2,500.3,79.1,35.6,2.5,11.8,1011.0,1014.8,1021.9,1002.5,10.7,16.6,5.6,264.5,20.6,25.0,17.0,1403.0,23.6,27.6,20.4,1408.1
1989,전라북도,809,1578,12770,17.8,23.6,12.9,1199.8,268.3,481.8,80.3,38.3,1.7,8.5,1010.4,1014.5,1021.2,1000.8,9.1,16.0,3.0,426.8,20.5,26.0,15.9,1505.8,22.6,27.6,18.2,1513.8
1989,제주도,0,0,0,19.5,22.8,16.4,618.2,205.3,493.4,82.6,45.3,3.7,12.6,1011.8,1013.2,1020.0,1001.6,12.4,16.2,8.7,260.7,20.8,24.0,17.8,711.2,24.5,27.6,21.8,836.2
1989,충청남도,4828,1670,80611,17.8,23.7,12.5,775.9,276.4,524.4,80.3,35.0,1.6,9.7,1009.8,1012.3,1021.1,998.3,8.9,16.0,2.4,286.8,20.5,26.1,15.6,863.3,22.5,27.8,18.0,1134.0
1989,충청북도,4839,1177,56978,17.6,23.8,11.9,794.8,237.1,517.5,74.1,25.6,1.6,8.6,1005.5,1012.8,1022.9,1001.2,9.0,16.4,2.1,241.0,20.4,26.4,15.0,1069.6,21.8,27.3,17.1,936.2
1990,강원도,593,1223,7254,16.3,21.3,12.1,2230.4,219.8,458.1,82.3,36.6,2.1,10.4,1012.4,1013.2,1023.8,996.6,7.2,12.8,2.1,772.4,19.1,23.6,15.3,2399.2,21.3,26.4,17.3,3435.2
1990,경기도,2445,1135,27739,17.9,23.3,13.4,848.8,198.0,360.0,80.1,37.3,1.2,7.1,1007.3,1011.8,1021.4,996.6,8.4,14.6,3.0,245.9,20.6,25.4,16.7,922.5,23.2,29.0,18.8,1341.2
1990,경상남도,1369,1510,20676,19.2,24.6,14.8,1704.7,242.4,496.6,80.3,34.7,1.8,9.0,1014.9,1017.3,1023.1,1001.0,10.2,16.2,4.8,1192.7,21.7,26.6,17.5,2070.8,24.5,29.8,20.6,1667.4
1990,경상북도,32721,1303,426320,18.0,23.4,13.4,1510.4,242.5,436.7,81.9,42.6,2.1,9.4,1011.7,1015.4,1024.2,998.4,9.0,14.9,3.4,751.8,20.7,25.7,16.4,1854.4,23.0,28.3,18.8,1752.8
1990,광주광역시,0,0,0,19.6,24.7,15.4,172.1,187.7,459.1,74.1,28.0,2.3,10.7,1003.0,1011.5,1020.4,998.5,10.2,15.8,5.2,70.5,22.2,26.8,18.4,212.5,25.0,30.2,21.0,213.0
1990,대구광역시,418,1119,4679,20.1,25.5,15.5,153.2,196.6,443.9,67.4,25.7,3.1,11.2,1005.8,1012.9,1023.2,998.8,11.0,16.8,5.8,67.9,22.8,28.0,18.3,201.0,25.0,30.4,20.8,166.8
1990,대전광역시,130,2231,2900,19.0,24.1,14.7,177.1,177.2,457.5,71.0,26.7,2.0,9.4,1003.3,1012.3,1021.8,997.9,9.6,15.2,4.6,73.6,21.8,26.5,17.8,241.9,24.4,29.4,20.1,183.3
1990,부산광역시,0,0,0,19.7,23.5,16.8,143.0,204.9,284.0,75.6,39.7,4.3,13.2,1003.5,1011.8,1021.4,998.7,11.6,16.1,8.0,117.6,21.3,24.6,18.7,168.7,25.5,29.2,22.6,130.1
1990,서울특별시,3,0,0,18.3,22.6,14.5,306.7,158.5,330.0,75.3,37.3,2.4,9.8,1001.8,1012.0,1021.6,997.1,9.2,13.9,5.2,93.2,20.6,24.7,17.2,368.8,23.8,28.3,19.9,426.8
1990,인천광역시,16,120,19,17.2,21.3,13.8,579.5,183.8,433.5,78.6,34.4,3.1,13.7,1005.6,1011.6,1021.2,996.4,8.2,12.6,4.3,179.0,19.4,23.1,16.6,683.0,22.9,27.3,19.2,824.8
1990,전라남도,270,680,1835,19.1,23.6,15.3,1047.9,234.5,480.8,81.0,39.1,2.6,11.4,1010.9,1012.9,1022.1,1000.6,10.3,15.2,5.6,687.6,21.2,25.4,17.8,1370.0,24.8,29.4,21.2,925.0
1990,전라북도,959,1000,9594,18.4,23.8,13.8,1147.5,245.1,441.8,83.4,41.3,1.8,8.2,1010.4,1013.3,1020.9,997.9,8.7,14.7,3.4,519.3,21.2,26.2,17.1,1539.7,23.7,29.4,19.4,1187.2
1990,제주도,0,0,0,20.2,23.5,17.1,751.1,226.7,530.7,82.1,41.1,3.8,13.6,1011.9,1013.3,1020.3,999.9,11.8,15.2,8.4,448.8,22.0,25.2,19.1,823.5,26.0,29.2,23.0,944.8
1990,충청남도,4932,1515,74701,18.1,23.5,13.5,918.8,238.7,432.0,83.4,40.6,1.7,8.5,1010.3,1013.2,1021.0,996.7,8.5,14.6,3.0,404.5,20.9,25.7,17.0,1236.1,23.4,29.2,19.0,957.2
1990,충청북도,4977,1070,53230,17.9,23.6,13.0,982.8,199.6,488.6,80.9,30.3,1.7,8.8,1005.9,1012.9,1022.6,998.1,8.4,14.8,2.6,371.4,20.8,25.8,16.4,1199.1,23.0,29.0,18.4,1269.7
1991,강원도,617,838,5168,16.1,21.6,11.1,1438.5,241.1,509.5,79.7,39.4,2.1,10.0,1012.7,1013.4,1024.5,1000.8,6.7,13.0,0.8,569.5,19.7,24.9,14.9,1785.2,20.0,25.2,15.8,1787.4
1991,경기도,2282,762,17382,17.8,23.8,12.6,503.6,233.1,408.8,74.4,30.3,1.2,8.1,1007.5,1012.7,1022.5,999.4,8.2,15.3,1.8,172.7,21.1,26.7,16.2,739.9,22.3,27.9,17.8,480.0
1991,경상남도,1457,1182,17223,18.4,23.6,13.9,2154.8,215.9,502.4,84.7,40.9,1.5,9.5,1012.0,1016.2,1023.3,996.8,9.7,16.2,4.0,986.0,21.4,26.2,17.1,2440.5,22.7,27.4,19.0,2895.2
1991,경상북도,34099,1106,376966,17.3,22.6,12.4,1629.6,242.6,466.7,83.9,51.9,2.0,10.3,1011.8,1015.3,1024.2,999.5,8.3,14.6,2.4,755.2,20.6,25.6,15.8,1737.4,21.3,26.0,17.4,2342.4
1991,대구광역시,426,898,3827,19.2,24.4,14.6,165.9,186.2,458.5,65.9,24.4,3.1,11.5,1006.0,1013.1,1024.2,997.9,10.4,16.6,4.8,86.2,22.6,27.7,18.1,184.0,22.8,27.3,19.0,218.3
1991,대전광역시,115,1692,1946,18.6,24.0,13.7,144.3,183.8,387.5,70.4,25.4,1.9,9.5,1003.2,1012.3,1022.7,998.9,9.2,15.8,3.5,79.4,22.0,27.0,17.3,164.7,22.8,27.6,18.5,178.6
1991,인천광역시,1,1400,14,17.2,21.8,13.4,259.8,241.3,469.3,72.0,25.6,2.9,12.9,1005.4,1011.6,1022.0,999.3,7.7,12.8,3.3,95.7,20.1,24.3,16.6,395.0,22.4,27.0,18.6,221.3
1991,전라남도,234,662,1549,18.5,23.0,14.8,991.8,211.1,505.2,83.3,38.9,2.5,11.9,1010.6,1012.4,1022.7,998.1,9.9,15.4,5.1,683.6,21.0,25.0,17.6,1211.4,23.3,27.4,20.2,970.6
1991,전라북도,982,787,7732,17.8,23.4,13.2,1130.4,250.1,421.3,83.0,41.3,1.8,8.3,1010.2,1012.9,1021.8,997.7,8.2,15.2,2.5,658.9,21.1,26.2,16.8,1401.4,22.4,27.6,18.4,1195.5
1991,충청남도,4949,1350,66803,17.5,23.3,12.5,715.4,239.3,506.6,79.0,39.4,1.4,8.1,1010.1,1013.2,1021.9,998.6,7.9,15.0,1.8,371.4,20.9,26.2,16.3,852.4,22.0,27.4,17.6,853.8
1991,충청북도,5433,799,43405,17.4,23.4,12.1,758.6,223.6,479.3,79.6,28.3,1.6,8.4,1005.8,1012.8,1023.4,999.6,8.1,15.2,1.5,359.8,20.9,26.5,15.8,1020.4,21.6,27.0,17.0,764.6
1992,강원도,552,884,4881,16.0,21.2,11.3,1471.4,225.1,483.4,81.9,45.4,2.0,9.8,1012.0,1012.8,1026.3,1001.3,7.4,13.2,2.0,638.6,18.9,24.1,14.1,1175.9,20.2,24.8,16.5,2747.4
1992,경기도,2158,1276,27529,17.4,23.1,12.6,432.8,219.3,375.5,74.3,29.1,1.3,6.3,1007.8,1012.6,1023.8,1000.8,8.9,15.3,3.2,160.7,20.1,25.7,15.3,369.5,21.9,27.0,17.9,799.8
1992,경상남도,1574,1522,23954,18.4,23.9,13.7,1310.5,236.3,485.5,74.7,32.0,1.8,8.7,1011.1,1013.3,1024.4,1001.7,10.4,16.5,4.9,1086.9,20.8,26.4,15.8,1002.9,23.0,27.4,19.4,1995.4
1992,경상북도,36355,1315,478205,17.4,22.8,12.4,1241.5,234.3,480.4,84.1,52.4,2.1,9.6,1012.3,1017.4,1029.1,1004.4,9.2,15.0,3.7,815.6,20.0,25.9,14.6,1059.4,21.6,26.1,17.9,1940.5
1992,광주광역시,0,0,0,18.9,24.4,14.3,134.8,197.5,496.8,71.3,23.3,2.7,10.4,1002.7,1011.3,1021.6,999.5,10.4,16.8,5.1,67.6,21.4,26.8,16.7,130.8,23.8,28.2,20.0,207.9
1992,대구광역시,429,948,4069,19.5,25.1,14.8,105.1,189.9,463.9,67.4,26.0,3.0,10.6,1006.2,1013.3,1025.2,1001.0,11.2,17.2,6.1,90.7,22.5,28.6,17.1,84.4,23.4,27.8,20.0,150.5
1992,대전광역시,109,1861,2028,18.6,24.1,13.6,123.8,197.2,466.6,69.9,22.4,2.0,9.0,1003.3,1012.4,1023.6,1000.1,10.0,16.5,4.2,83.2,21.5,26.9,16.4,101.5,22.8,27.6,18.8,197.8
1992,부산광역시,0,0,0,18.9,22.5,15.9,161.6,183.2,464.4,73.0,34.6,4.2,15.6,1003.4,1011.7,1022.7,999.9,11.6,15.8,8.2,153.4,20.4,24.0,17.5,96.4,23.8,27.0,21.3,267.8
1992,서울특별시,0,0,0,18.2,22.9,14.1,171.5,188.9,408.4,68.1,23.4,2.3,9.6,1001.9,1012.1,1023.2,1000.2,9.8,14.8,5.3,43.8,20.7,25.4,16.7,175.1,22.8,27.0,19.2,293.6
1992,인천광역시,0,0,0,17.0,21.6,13.0,264.4,242.1,482.7,76.9,30.3,3.0,10.2,1006.5,1012.1,1023.3,1000.0,8.5,13.6,4.1,62.0,19.3,23.7,15.6,278.8,22.1,26.6,18.2,445.1
1992,전라남도,237,1031,2443,18.7,23.5,14.5,784.2,241.3,532.7,77.7,33.6,2.6,10.4,1010.8,1012.5,1022.9,1001.3,10.6,16.0,5.9,649.2,20.6,25.4,16.4,588.1,23.8,28.0,20.3,1213.2
1992,전라북도,945,887,8386,17.7,23.5,12.7,867.0,254.7,436.4,79.6,35.1,1.8,8.4,1010.8,1013.2,1023.7,1001.1,9.0,15.6,3.4,492.5,20.4,26.1,15.3,706.2,22.4,27.4,18.2,1482.8
1992,제주도,0,0,0,19.6,22.9,16.7,756.8,219.1,450.7,82.1,42.1,3.5,12.7,1009.9,1012.3,1021.7,1001.4,12.4,15.7,9.2,670.7,20.9,24.2,17.9,676.4,25.0,28.2,22.4,963.7
1992,충청남도,5061,1571,79515,17.4,23.5,12.3,642.6,238.8,477.9,75.6,32.6,1.6,8.2,1010.5,1013.1,1022.9,1000.4,8.6,15.4,2.4,302.5,20.2,26.1,15.2,423.6,22.1,27.6,17.8,1311.2
1992,충청북도,5565,1146,63756,17.3,23.4,11.9,606.4,216.6,459.3,78.1,27.7,1.6,7.6,1005.3,1012.5,1024.2,1000.4,8.6,15.6,2.4,338.8,20.2,26.2,14.7,548.2,21.5,26.8,17.2,961.3
1993,강원도,483,761,3678,15.3,20.5,10.6,1707.3,203.1,503.7,81.7,43.0,2.0,10.0,1011.8,1012.7,1023.2,997.4,6.4,12.3,0.9,653.6,18.4,23.3,14.1,2205.9,19.4,24.6,15.0,2013.4
1993,경기도,2126,1188,25267,16.7,22.5,11.8,449.2,190.8,448.3,77.3,29.9,1.3,6.3,1007.7,1012.7,1022.5,996.8,7.2,13.6,1.3,135.4,20.3,25.8,15.6,692.0,21.0,26.6,16.4,398.7
1993,경상남도,1634,1061,17336,17.5,22.9,12.8,1695.0,180.5,448.7,78.0,35.0,1.7,8.4,1011.0,1013.2,1023.1,998.5,9.5,16.0,3.4,449.2,20.1,25.3,15.9,1781.2,21.4,26.4,17.5,2811.4
1993,경상북도,36021,1154,415530,16.3,21.9,11.4,1824.4,205.1,460.5,83.6,51.9,2.1,9.6,1012.2,1016.2,1025.5,1000.6,8.0,14.6,1.9,536.4,19.2,24.4,14.7,2169.7,20.2,25.4,15.9,2594.4
1993,광주광역시,0,0,0,18.2,23.4,13.8,158.5,189.6,469.8,72.9,25.1,2.3,11.2,1002.6,1011.2,1020.7,995.7,9.2,15.8,3.9,53.0,21.4,26.4,17.3,181.7,22.4,26.6,18.5,229.4
1993,대구광역시,447,918,4104,18.5,24.0,13.8,143.3,176.1,444.3,71.0,26.1,2.9,11.0,1005.9,1013.1,1022.8,997.0,10.6,17.0,4.6,36.2,21.4,26.8,16.9,181.5,22.0,26.8,18.2,193.1
1993,대전광역시,109,652,711,17.8,23.3,13.0,183.5,185.7,473.9,74.0,25.6,1.8,10.0,1003.1,1012.2,1022.0,997.0,8.6,15.2,3.0,52.4,21.3,26.4,16.7,224.3,21.6,26.6,17.3,253.4
1993,부산광역시,0,0,0,17.9,21.7,14.9,194.6,168.1,435.2,75.3,36.1,3.7,15.1,1003.4,1011.7,1020.8,994.6,10.8,15.6,6.7,56.6,19.7,23.2,17.1,191.4,22.2,25.7,19.7,337.5
1993,서울특별시,0,0,0,17.7,22.5,13.7,161.0,186.5,407.0,70.3,24.7,2.3,10.1,1001.7,1012.0,1021.3,996.4,8.2,13.2,4.1,57.4,20.9,25.7,17.0,252.8,22.2,26.9,18.4,127.0
1993,인천광역시,0,0,0,16.4,21.0,12.4,295.7,217.0,461.1,81.3,32.7,2.8,8.5,1006.9,1012.4,1021.6,996.7,6.8,11.6,2.5,111.1,19.4,23.9,15.6,479.0,21.5,26.0,17.5,205.4
1993,전라남도,249,1152,2869,17.6,22.3,13.6,975.9,193.5,493.4,81.1,39.6,2.4,10.3,1010.8,1012.6,1022.2,998.3,9.2,15.2,4.0,339.2,20.2,24.4,16.6,931.1,22.1,26.2,18.6,1679.6
1993,전라북도,952,933,8878,16.8,22.5,11.9,1187.2,195.2,418.4,82.3,39.7,1.8,8.9,1011.3,1012.9,1023.4,998.4,7.6,14.4,1.8,243.6,20.1,25.4,15.6,1644.3,21.0,26.2,16.6,1445.0
1993,제주도,0,0,0,18.5,21.7,15.5,776.1,163.4,420.7,82.1,42.7,3.8,13.6,1010.0,1012.3,1021.8,997.9,11.0,14.8,7.3,347.6,20.3,23.4,17.6,714.1,23.2,26.2,20.5,1297.5
1993,충청남도,5044,1496,75439,16.7,22.8,11.5,693.2,210.3,465.3,75.9,35.4,1.5,8.1,1010.4,1013.2,1022.7,998.0,7.2,14.2,1.0,164.6,20.2,25.9,15.5,982.9,21.0,26.8,16.0,787.4
1993,충청북도,5232,1188,62179,16.3,22.4,11.0,811.8,193.8,449.4,77.7,30.0,1.6,8.4,1004.8,1012.4,1022.6,997.1,7.2,14.2,0.8,236.4,20.0,25.6,15.0,975.9,20.0,25.8,15.2,1141.0
1994,강원도,461,1030,4747,17.2,22.7,12.0,1003.6,228.0,582.5,78.9,36.9,2.1,9.6,1011.2,1012.1,1023.6,998.4,7.4,13.6,1.2,222.6,20.7,26.0,15.6,1173.5,21.7,26.9,17.4,1530.0
1994,경기도,1860,1214,22588,18.8,24.9,13.3,358.6,216.5,456.9,73.3,28.3,1.4,6.7,1007.6,1012.8,1022.9,998.9,8.8,15.8,2.2,101.6,22.6,28.4,17.2,358.6,23.1,28.6,18.5,615.6
1994,경상남도,1832,1108,20291,19.4,25.2,14.1,837.6,239.1,536.5,75.3,30.9,1.9,8.2,1011.0,1013.3,1023.3,1001.2,9.8,16.2,3.8,566.0,22.4,28.1,17.3,1015.1,24.4,30.0,19.5,842.7
1994,경상북도,35911,1120,402212,18.6,24.7,12.9,846.9,244.2,560.4,78.9,51.0,2.2,9.3,1012.0,1012.9,1023.1,1000.0,8.8,15.2,2.6,356.8,21.8,27.7,16.2,1231.4,23.6,29.7,18.2,760.2
1994,광주광역시,0,0,0,20.0,25.9,15.2,82.0,230.6,529.7,68.1,23.6,2.2,11.6,1002.7,1011.3,1020.5,997.1,10.0,16.4,4.6,39.5,23.4,29.2,18.7,77.1,25.0,30.2,20.6,131.8
1994,대구광역시,444,904,4013,20.9,26.9,15.6,57.9,229.8,514.2,59.3,20.7,3.1,10.7,1005.9,1013.0,1022.9,1000.0,11.0,17.2,5.5,28.0,24.2,30.1,18.9,79.6,26.0,32.0,20.9,55.2
1994,대전광역시,91,1044,950,19.8,25.6,14.5,89.7,232.8,534.3,65.1,27.1,1.9,8.9,1002.7,1011.8,1021.4,998.5,9.7,16.1,3.8,42.6,23.5,29.1,18.3,119.6,24.4,29.9,19.4,91.9
1994,부산광역시,0,0,0,20.0,24.1,16.7,104.3,238.2,524.7,69.1,29.9,4.1,14.3,1003.3,1011.7,1020.7,999.4,11.2,15.9,7.4,77.5,22.1,25.8,19.0,160.1,25.6,29.6,22.6,47.4
1994,서울특별시,0,0,0,19.6,24.6,15.4,106.7,214.2,447.0,67.4,23.1,2.4,8.9,1001.5,1011.6,1021.4,998.3,9.6,15.2,5.0,38.3,23.1,28.0,18.9,125.6,24.3,29.0,20.5,146.7
1994,인천광역시,0,0,0,18.1,22.9,13.8,224.5,233.4,484.1,78.9,33.3,3.0,9.8,1006.9,1012.5,1022.0,999.2,8.0,13.4,3.0,76.2,21.2,25.8,17.2,257.0,23.6,28.1,19.4,324.0
1994,전라남도,236,1071,2528,19.2,24.3,14.5,577.8,236.5,565.7,79.1,34.9,2.7,11.5,1010.8,1013.4,1022.4,1001.4,9.6,15.2,4.6,354.3,21.9,26.9,17.5,489.8,24.5,29.4,20.0,933.3
1994,전라북도,966,1051,10150,18.3,24.5,12.8,559.6,231.6,474.0,79.4,33.7,1.9,8.5,1011.4,1012.5,1022.7,999.6,8.2,14.8,2.0,236.3,21.9,27.8,16.6,577.4,23.2,29.1,17.9,856.2
1994,제주도,0,0,0,20.0,23.3,16.9,612.4,236.8,537.2,82.3,39.7,3.9,13.7,1010.2,1012.3,1021.5,999.9,11.4,15.0,8.1,477.8,22.2,25.6,19.2,518.6,25.0,28.2,22.2,887.6
1994,충청남도,5087,1666,84731,18.5,24.8,12.9,609.0,239.7,521.7,76.4,30.6,1.8,8.3,1010.6,1013.5,1023.6,1000.0,8.3,15.5,1.5,207.0,22.2,28.2,16.9,656.4,23.2,29.2,18.2,940.0
1994,충청북도,5210,1234,64295,18.1,24.6,12.0,547.7,237.0,488.3,76.0,28.9,1.8,8.6,1005.0,1012.5,1022.9,998.9,8.2,15.2,1.1,184.6,21.9,28.2,15.9,692.3,22.2,28.7,17.0,694.0
1995,강원도,464,864,4011,15.9,21.3,11.2,1824.4,205.8,481.5,77.7,37.7,2.1,10.7,1011.5,1012.5,1023.8,999.7,6.6,12.7,1.0,621.8,18.8,23.9,14.1,1425.6,20.9,25.8,17.0,3625.2
