시점,항목,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
시점,항목,평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
2013,8월,27,31.3,37.8,23.4,17.7,42.9,76,58,1006.4,22,4.7,270.8,-,2.2,4.5,7.9
2013,9월,20.3,24.5,31.3,16.5,12.5,109.7,81,61,1015.5,16.7,6.1,169.4,-,2.3,4.5,7.7
2014,3월,7.7,12.7,27.2,2.7,-5.1,62.4,60,13,1018.8,-0.5,4.7,195.8,-,3.2,9.9,15.5
2014,4월,12.4,17,26.9,7.4,1.2,236.9,66,14,1016.9,5.5,4.8,224.7,-,3,11.2,17
2014,5월,17.9,23.1,30.3,12.5,4.6,7.4,61,17,1009.8,9.3,3.7,285.2,-,2.6,8.8,18.3
2014,6월,19.6,22.9,33.7,16.8,14,77.1,84,28,1007.4,16.6,7.3,150.2,-,2.2,6.3,10.4
2014,7월,24.2,27.9,34.1,21.1,15.6,51.6,78,35,1007.2,19.8,6.1,231.9,-,2.2,8.6,14.3
2014,8월,22.3,25.5,30.9,19.7,14.3,331.6,88,47,1009.1,20,8.2,99.4,-,2.1,10.2,13.3
2014,9월,20,24.1,28.5,15.8,11,139.3,81,41,1014.1,16.3,5.4,200.5,-,2.2,7.5,13.1
2015,3월,7.3,12.7,22.7,1.7,-6.1,29.1,51,8,1019.6,-3.2,...,276,...,2.9,8.7,15.4
2015,4월,11.8,17,31.7,7.1,1.2,78.8,70,13,1016.3,5.2,...,187.9,...,3.1,10.5,19
2015,5월,17.6,23.4,31.5,12.3,7.2,8,62,14,1008.7,9.2,...,300.3,...,2.5,8.1,15.6
2015,6월,18.9,22.4,28.2,15.7,9.3,99.1,81,27,1007.9,15.1,...,202,...,2.3,9.7,16.4
2015,7월,22.2,25.8,32.7,19,13.5,120.2,82,33,1007.8,18.7,...,202.3,...,2.4,8.8,17.4
2015,8월,24.3,28,35.5,20.8,17.4,125.4,82,35,1008.7,20.7,...,208,...,2.1,12.5,20.9
2015,9월,19.5,23.3,26.9,15.5,12.1,38.1,81,39,1015,15.9,...,199.2,...,2.6,10.1,17
2016,3월,7.1,11.8,20.7,2,-5,26.8,61,14,1020.8,-0.9,-,203.3,-,2.7,8.9,13.5
2016,4월,12.5,17.5,29.4,7.9,3.6,103.8,68,16,1013.5,6,-,204,-,3.2,11.7,22.3
2016,5월,16.6,22.4,28.8,11.5,5.3,18,67,16,1011.2,9.7,-,294.3,-,2.6,9.8,22.1
2016,6월,20.4,24.1,29.3,17.1,10.1,45.4,80,36,1008.1,16.5,-,214.3,-,2,6.8,12
2016,7월,23,26.3,33.9,20.5,17.1,323.9,88,51,1008.7,20.8,-,158,-,1.8,6.5,12.4
2016,8월,24.9,28.4,32.9,21.7,15.1,114.3,84,48,1006.3,21.8,-,240.1,-,2.2,9.6,17.1
2016,9월,20.6,23.8,28.8,17.8,13.1,243,87,53,1014.4,18.3,-,122.6,-,2.2,11.7,15.3
2017,3월,3.7,11.4,18.9,-3.4,-8.1,216,57,10,1018.8,-5.8,-,202,-,1.5,6.5,11.9
2017,4월,11.4,19.4,28.7,3.4,-2.2,905,59,10,1012.6,1.4,-,219,-,1.7,8.5,14.3
2017,5월,17,25,32,9,2.8,183,58,10,1011.5,6.7,-,250,-,1.6,7.4,15.9
2017,6월,19.7,27.7,33.6,12.4,6,371,65,13,1008.4,11.6,-,228,-,1.5,5.7,13.7
2017,7월,24.3,29.3,33.8,20.4,12.4,2553,83,24,1007.7,20.7,-,123,-,1.2,4.8,9.1
2017,8월,22.8,28.2,34.6,18.7,11.2,2015,83,28,1008,19.2,-,123,-,1.1,4.9,10.4
2017,9월,17.3,25,38.6,11,3.2,655,78,22,1013.4,12.6,-,194,-,1.2,5,9.3
2018,3월,5.7,13.1,22.4,-1.4,-8.9,75.2,61,11,1019,-2.5,-,212.7,-,1.8,7.7,15.2
2018,4월,11.4,19.3,30.3,3.5,-1.9,165,57,6,1014.7,1.1,-,225.1,-,1.8,6.4,15.5
2018,5월,15.9,22.9,30.1,8.8,2.2,140.2,71,16,1010.4,9.4,-,194.9,-,1.6,7.8,13.8
2018,6월,20.3,27.2,33.2,14.1,7.5,69.9,69,16,1005.5,13.1,-,190.6,-,1.5,6.2,9.7
2018,7월,25,30.8,36.6,19.8,10.7,228.7,76,34,1006.4,19.8,-,225.3,-,1.4,6.9,12.4
2018,8월,24.7,30.7,37.8,19.9,13.8,319.4,77,24,1007.8,19.7,-,159,-,1.3,6.2,11.6
2018,9월,17.4,23.5,27.5,12,4.6,111.7,79,21,1016.1,13.1,-,130.4,-,1.2,5.6,12.7
2019,3월,4.7,12.7,20.6,-2.3,-8,33.7,60,10,1015.1,-3.7,50,199,-,1.7,7.3,14.9
2019,4월,9.6,17.6,25.4,1.7,-6.5,58,59,8,1013.6,0,52,187.8,-,1.6,7.3,13.2
2019,5월,16.5,25.3,32.1,7.3,0.3,46.1,57,8,1009.5,5.4,42,273.4,-,1.7,7.4,15.4
