시점,항목,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
시점,항목,평균,평균 최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
2018,3월,10.2,14.9,25.9,5.5,-2.2,153.7,62,15,1020.1,2.1,4.6,222.1,-,3.3,10.1,19.7
2018,4월,15.5,20.7,33,10.6,2.8,106.5,57,12,1015.6,5.6,4.1,259.6,-,3.2,7.6,13.9
2018,5월,18.7,22.6,32.6,15.1,9.9,71.6,73,20,1012.1,12.9,6,222.9,-,3.1,8.6,16.6
2018,6월,23.3,27.2,34.6,19.7,14.4,89.1,69,26,1008.4,16.7,6.3,218.7,-,2.7,6.9,11.1
2018,7월,27.3,30.9,37.2,24.2,17.6,164.1,78,38,1009.2,22.7,5.1,257.1,-,2.7,8.3,12.2
2018,8월,27.7,30.8,39.4,24.8,19.5,175.4,74,35,1008.3,22.3,6.1,223.9,-,2.7,8.9,12.8
2018,9월,21.9,24.8,30.6,19.3,13.5,160,74,34,1013.7,16.7,7.4,127.9,-,2.6,8.5,10.9
2019,3월,10.3,15.2,24.1,5.5,0.3,27.6,55,16,1016.4,0.7,4.7,246.7,-,2.8,7.7,11.8
2019,4월,13.5,18.4,27,9.2,2.2,95.4,60,13,1015.3,4.6,5.5,215.2,-,2.7,8.9,12.3
2019,5월,20.8,26,35.1,15.9,8.4,14.7,53,14,1011.8,9.2,4.4,298.9,-,2.7,7.1,11.2
2019,6월,21.6,25.1,32.4,18.4,14.6,190.1,75,25,1007.8,16.4,6.1,229.5,-,2.3,6.6,9.4
2019,7월,26,29.1,36.5,23.6,19.9,94.9,78,36,1007,21.6,7.1,178.7,-,2.7,8.5,13.4
2019,8월,27,30.3,36.1,24.3,21,231.7,80,32,1007.3,23,5.7,230.2,-,2.2,8.6,11.7
2019,9월,23,25.9,31.4,20.4,13.9,273.6,81,32,1015.5,19.4,7.3,135.4,-,2.4,14.1,17.3
