"시점",사과,사과,사과
"시점",면적 (ha),생산량 (M/T),단위생산량 (㎏/10a)
"2011",934.3,13504.2,1445.4
"2012",952.2,13801.3,1449.4
"2013",959.0,16524.0,1723.0
"2014",1007.6,17063.7,1852.3
"2015",1032.9,19485.5,1886.5
"2016",1031.3,18169.6,2009.1
"2017",1029.0,18940.0,2063.0
"2018",1009.0,18042.0,2031.0
"2019",1102.1,19277.4,1749.2
