"시점",사과,사과,사과
"시점",면적 (㏊),생산량 (M/T),단위생산량 (kg/10a)
"2010",342.5,5277.8,1541.0
"2011",337.4,5148.6,1526.0
"2012",350.1,5000.8,1428.4
"2013",365.3,5103.2,1397.0
"2014",370.2,5263.0,1421.7
"2015",382.4,5648.0,1477.0
"2016",406.8,6011.2,1477.7
"2017",428.9,6241.0,1455.1
"2018",431.3,5439.0,1261.0
"2019",422.7,5306.0,1255.3
