"시점",사과,사과,사과
"시점",면적 (㏊),생산량 (M/T),단위생산량 (kg/10a)
"2011",800.0,13127.0,1747.0
"2012",792.8,13085.1,1772.3
"2013",800.0,13088.0,1636.0
"2014",756.0,19638.0,2598.0
"2015",716.5,19675.4,2746.0
"2016",700.3,15339.0,2190.0
"2017",700.9,15317.0,2185.0
"2018",672.0,13241.0,1970.4
"2019",666.8,13061.1,1958.8
"2020",662.0,12576.0,1899.6
