"시점",사과,사과,사과
"시점",면적 (㏊),생산량 (M/T),단위생산량 (kg/10a)
"2010",874.9,17038.5,1947.5
"2011",864.9,11775.7,1361.5
"2012",857.9,14684.5,1711.7
"2013",926.0,16985.1,1834.2
"2014",970.4,18536.0,1910.1
"2015",1010.6,18406.7,1821.4
"2016",1006.9,18020.7,1790.0
"2017",1032.2,18952.4,1836.0
"2018",976.5,16182.7,1657.0
"2019",909.1,15463.0,1700.9
"2020",910.6,12629.9,1386.9
