년,월,합계일조시간(hr),합계전천일사량(MJ/㎡),지역
 2002,07,84.1,398.92,서울특별시
 2002,08,52.4,314.8,서울특별시
 2002,09,119.4,391.8,서울특별시
 2003,03,104.3,391.06,서울특별시
 2003,04,125.8,440.66,서울특별시
 2003,05,170.7,586.05,서울특별시
 2003,06,101.8,422.35,서울특별시
 2003,07,86.6,420.74,서울특별시
 2003,08,83.0,391.98,서울특별시
 2003,09,100.4,373.37,서울특별시
 2004,03,221.6,465.92,서울특별시
 2004,04,210.3,516.08,서울특별시
 2004,05,166.9,507.25,서울특별시
 2004,06,151.5,475.28,서울특별시
 2004,07,85.4,316.98,서울특별시
 2004,08,147.8,469.31,서울특별시
 2004,09,168.2,415.76,서울특별시
 2005,03,221.9,466.52,서울특별시
 2005,04,199.5,518.09,서울특별시
 2005,05,235.3,603.92,서울특별시
 2005,06,138.3,465.11,서울특별시
 2005,07,79.4,371.21,서울특별시
 2005,08,103.1,368.84,서울특별시
 2005,09,113.7,334.1,서울특별시
 2006,03,201.9,439.42,서울특별시
 2006,04,136.0,407.21,서울특별시
 2006,05,199.1,541.55,서울특별시
 2006,06,155.8,469.24,서울특별시
 2006,07,34.3,253.15,서울특별시
 2006,08,177.1,483.73,서울특별시
 2006,09,195.7,444.25,서울특별시
 2007,03,147.1,321.94,서울특별시
 2007,04,191.8,474.64,서울특별시
 2007,05,197.3,523.35,서울특별시
 2007,06,175.2,501.44,서울특별시
 2007,07,91.5,390.34,서울특별시
 2007,08,105.7,360.81,서울특별시
 2007,09,85.1,286.98,서울특별시
 2008,03,187.3,390.28,서울특별시
 2008,04,208.1,496.97,서울특별시
 2008,05,213.8,560.5,서울특별시
 2008,06,173.8,521.13,서울특별시
 2008,07,78.7,336.23,서울특별시
 2008,08,196.6,493.57,서울특별시
 2008,09,184.6,415.31,서울특별시
 2009,03,202.7,425.54,서울특별시
 2009,04,204.5,517.66,서울특별시
 2009,05,240.2,612.91,서울특별시
 2009,06,181.0,549.15,서울특별시
 2009,07,115.8,437.75,서울특별시
 2009,08,150.9,465.59,서울특별시
 2009,09,201.6,473.84,서울특별시
 2010,03,133.0,351.1,서울특별시
 2010,04,166.3,458.41,서울특별시
 2010,05,178.5,535.71,서울특별시
 2010,06,203.0,581.11,서울특별시
 2010,07,89.8,410.55,서울특별시
 2010,08,96.5,365.07,서울특별시
 2010,09,146.4,373.65,서울특별시
 2011,03,240.2,506.61,서울특별시
 2011,04,202.1,504.97,서울특별시
 2011,05,180.4,529.85,서울특별시
 2011,06,170.8,492.72,서울특별시
 2011,07,80.4,342.33,서울특별시
 2011,08,94.0,378.91,서울특별시
 2011,09,180.4,449.39,서울특별시
 2012,03,191.8,367.51,서울특별시
 2012,04,212.5,448.48,서울특별시
 2012,05,251.3,553.4,서울특별시
 2012,06,232.0,534.46,서울특별시
 2012,07,144.0,375.14,서울특별시
 2012,08,158.7,362.84,서울특별시
 2012,09,190.8,356.28,서울특별시
 2013,03,256.3,443.31,서울특별시
 2013,04,213.2,449.86,서울특별시
 2013,05,238.1,513.2,서울특별시
 2013,06,224.0,507.43,서울특별시
 2013,07,101.0,268.48,서울특별시
 2013,08,217.9,420.57,서울특별시
 2013,09,191.0,368.82,서울특별시
 2014,03,214.7,392.05,서울특별시
 2014,04,213.2,455.0,서울특별시
 2014,05,304.0,627.82,서울특별시
 2014,06,184.9,465.41,서울특별시
 2014,07,172.7,296.02,서울특별시
 2014,08,150.7,352.98,서울특별시
 2014,09,214.3,388.56,서울특별시
 2015,03,270.8,458.62,서울특별시
 2015,04,216.0,449.84,서울특별시
 2015,05,290.4,602.95,서울특별시
 2015,06,258.1,530.22,서울특별시
 2015,07,176.1,428.46,서울특별시
 2015,08,207.0,436.33,서울특별시
 2015,09,262.1,458.73,서울특별시
 2016,03,253.7,432.76,서울특별시
 2016,04,219.5,460.4,서울특별시
 2016,05,280.1,594.54,서울특별시
 2016,06,229.7,508.07,서울특별시
 2016,07,160.4,403.01,서울특별시
 2016,08,236.1,468.05,서울특별시
 2016,09,191.6,370.92,서울특별시
 2017,03,255.2,444.9,서울특별시
 2017,04,259.7,488.91,서울특별시
 2017,05,301.5,645.35,서울특별시
 2017,06,285.2,625.27,서울특별시
 2017,07,123.1,375.27,서울특별시
 2017,08,166.2,411.09,서울특별시
 2017,09,233.7,445.23,서울특별시
 2018,03,209.1,446.41,서울특별시
 2018,04,223.4,513.19,서울특별시
 2018,05,231.6,561.24,서울특별시
 2018,06,236.6,602.59,서울특별시
 2018,07,228.5,561.1,서울특별시
 2018,08,232.5,517.16,서울특별시
 2018,09,218.7,470.96,서울특별시
 2019,03,203.8,417.72,서울특별시
 2019,04,221.6,502.12,서울특별시
 2019,05,314.0,701.39,서울특별시
 2019,06,235.1,589.02,서울특별시
 2019,07,150.1,426.99,서울특별시
 2019,08,239.3,486.24,서울특별시
 2019,09,168.9,386.78,서울특별시
 2020,03,262.9,515.18,서울특별시
 2020,04,283.3,637.52,서울특별시
 2020,05,177.9,564.83,서울특별시
 2020,06,206.1,603.98,서울특별시
 2020,07,119.4,464.55,서울특별시
 2020,08,74.7,325.97,서울특별시
 2020,09,174.3,452.05,서울특별시
 2021,03,213.0,476.94,서울특별시
 2021,04,208.6,558.28,서울특별시
 2021,05,203.7,570.5,서울특별시
 2021,06,185.5,563.35,서울특별시
 2021,07,195.2,578.3,서울특별시
 2021,08,127.3,428.88,서울특별시
 2021,09,182.0,474.13,서울특별시
 2022,03,173.0,425.4,서울특별시
 2022,04,246.4,615.24,서울특별시
 2022,05,302.3,764.61,서울특별시
 2022,06,131.9,440.59,서울특별시
 2022,07,140.1,508.79,서울특별시
 2022,08,116.3,402.81,서울특별시
 2022,09,203.9,496.22,서울특별시
 1980,03,178.1,,부산광역시
 1980,04,189.2,,부산광역시
 1980,05,233.0,,부산광역시
 1980,06,160.6,,부산광역시
 1980,07,104.2,,부산광역시
 1980,08,65.1,,부산광역시
 1980,09,193.7,,부산광역시
 1981,03,228.3,504.16,부산광역시
 1981,04,222.9,538.24,부산광역시
 1981,05,234.6,588.59,부산광역시
 1981,06,126.2,457.1,부산광역시
 1981,07,180.4,504.75,부산광역시
 1981,08,198.4,536.75,부산광역시
 1981,09,193.1,456.65,부산광역시
 1982,03,210.0,451.97,부산광역시
 1982,04,206.5,479.95,부산광역시
 1982,05,221.7,543.92,부산광역시
 1982,06,244.7,598.76,부산광역시
 1982,07,160.6,525.76,부산광역시
 1982,08,197.3,546.98,부산광역시
 1982,09,212.1,497.49,부산광역시
 1983,03,193.4,493.96,부산광역시
 1983,04,193.3,538.38,부산광역시
 1983,05,237.0,668.05,부산광역시
 1983,06,237.3,673.84,부산광역시
 1983,07,170.0,520.26,부산광역시
 1983,08,231.4,595.51,부산광역시
 1983,09,156.5,422.25,부산광역시
 1984,03,242.3,490.85,부산광역시
 1984,04,196.8,443.25,부산광역시
 1984,05,282.8,665.28,부산광역시
 1984,06,183.4,486.62,부산광역시
 1984,07,230.9,553.2,부산광역시
 1984,08,257.2,570.89,부산광역시
 1984,09,168.5,399.95,부산광역시
 1985,03,186.5,406.7,부산광역시
 1985,04,218.6,513.35,부산광역시
 1985,05,203.4,517.37,부산광역시
 1985,06,184.0,472.13,부산광역시
 1985,07,241.9,561.32,부산광역시
 1985,08,245.3,546.49,부산광역시
 1985,09,174.8,402.93,부산광역시
 1986,03,221.3,443.44,부산광역시
 1986,04,226.8,519.58,부산광역시
 1986,05,246.8,620.76,부산광역시
 1986,06,170.5,488.85,부산광역시
 1986,07,138.7,452.28,부산광역시
 1986,08,266.0,574.65,부산광역시
 1986,09,169.3,360.41,부산광역시
 1987,03,173.0,369.49,부산광역시
 1987,04,211.6,456.99,부산광역시
 1987,05,234.1,515.81,부산광역시
 1987,06,220.8,536.14,부산광역시
 1987,07,123.0,358.1,부산광역시
 1987,08,111.5,333.84,부산광역시
 1987,09,176.6,389.47,부산광역시
 1988,03,186.3,346.44,부산광역시
 1988,04,250.4,474.19,부산광역시
 1988,05,237.2,479.25,부산광역시
 1988,06,181.7,412.4,부산광역시
 1988,07,151.9,401.26,부산광역시
 1988,08,242.3,488.49,부산광역시
 1988,09,166.2,332.63,부산광역시
 1989,03,192.8,378.43,부산광역시
 1989,04,249.2,477.6,부산광역시
 1989,05,219.7,489.23,부산광역시
 1989,06,182.3,427.73,부산광역시
 1989,07,176.8,419.66,부산광역시
 1989,08,212.1,457.21,부산광역시
 1989,09,108.3,262.52,부산광역시
 1990,03,202.1,255.72,부산광역시
 1990,04,200.6,276.15,부산광역시
 1990,05,225.5,306.73,부산광역시
 1990,06,168.0,259.34,부산광역시
 1990,07,217.2,308.25,부산광역시
 1990,08,284.5,370.25,부산광역시
 1990,09,136.7,211.55,부산광역시
 1991,03,174.6,206.0,부산광역시
 1991,04,217.4,477.37,부산광역시
 1991,05,224.1,543.75,부산광역시
 1991,06,156.4,434.67,부산광역시
 1991,07,136.0,416.43,부산광역시
 1991,08,188.0,463.33,부산광역시
 1991,09,174.1,395.27,부산광역시
 1992,03,120.4,311.28,부산광역시
 1992,04,215.3,483.31,부산광역시
 1992,05,224.5,539.3,부산광역시
 1992,06,209.7,558.93,부산광역시
 1992,07,201.6,561.52,부산광역시
 1992,08,154.9,423.78,부산광역시
 1992,09,156.0,372.84,부산광역시
 1993,03,181.0,442.83,부산광역시
 1993,04,230.1,544.51,부산광역시
