년,월,평균상대습도(%),최소상대습도(%),지역
 2004,08,71,22,서울특별시
 2004,09,69,22,서울특별시
 2005,03,54,13,서울특별시
 2005,04,53,9,서울특별시
 2005,05,55,8,서울특별시
 2005,06,69,26,서울특별시
 2005,07,76,44,서울특별시
 2005,08,75,30,서울특별시
 2005,09,71,30,서울특별시
 2006,03,51,8,서울특별시
 2006,04,55,10,서울특별시
 2006,05,57,13,서울특별시
 2006,06,68,21,서울특별시
 2006,07,82,43,서울특별시
 2006,08,69,34,서울특별시
 2006,09,58,19,서울특별시
 2007,03,60,15,서울특별시
 2007,04,53,14,서울특별시
 2007,05,62,17,서울특별시
 2007,06,61,13,서울특별시
 2007,07,75,35,서울특별시
 2007,08,75,23,서울특별시
 2007,09,74,36,서울특별시
 2008,03,56,10,서울특별시
 2008,04,50,11,서울특별시
 2008,05,58,10,서울특별시
 2008,06,65,23,서울특별시
 2008,07,78,45,서울특별시
 2008,08,70,29,서울특별시
 2008,09,64,18,서울특별시
 2009,03,52,13,서울특별시
 2009,04,54,13,서울특별시
 2009,05,59,15,서울특별시
 2009,06,66,18,서울특별시
 2009,07,76,36,서울특별시
 2009,08,69,24,서울특별시
 2009,09,64,23,서울특별시
 2010,03,59,13,서울특별시
 2010,04,54,12,서울특별시
 2010,05,62,21,서울특별시
 2010,06,62,12,서울특별시
 2010,07,74,32,서울특별시
 2010,08,78,26,서울특별시
 2010,09,72,25,서울특별시
 2011,03,51,12,서울특별시
 2011,04,54,10,서울특별시
 2011,05,57,15,서울특별시
 2011,06,67,19,서울특별시
 2011,07,79,30,서울특별시
 2011,08,74,30,서울특별시
 2011,09,58,13,서울특별시
 2012,03,52,9,서울특별시
 2012,04,54,9,서울특별시
 2012,05,48,11,서울특별시
 2012,06,54,21,서울특별시
 2012,07,74,38,서울특별시
 2012,08,68,31,서울특별시
 2012,09,65,26,서울특별시
 2013,03,49,8,서울특별시
 2013,04,54,12,서울특별시
 2013,05,58,11,서울특별시
 2013,06,60,15,서울특별시
 2013,07,79,40,서울특별시
 2013,08,69,28,서울특별시
 2013,09,63,16,서울특별시
 2014,03,60,16,서울특별시
 2014,04,60,15,서울특별시
 2014,05,59,18,서울특별시
 2014,06,73,32,서울특별시
 2014,07,74,27,서울특별시
 2014,08,77,32,서울특별시
 2014,09,69,22,서울특별시
 2015,03,45,9,서울특별시
 2015,04,55,11,서울특별시
 2015,05,53,12,서울특별시
 2015,06,60,13,서울특별시
 2015,07,71,28,서울특별시
 2015,08,70,29,서울특별시
 2015,09,56,15,서울특별시
 2016,03,51,15,서울특별시
 2016,04,55,13,서울특별시
 2016,05,56,10,서울특별시
 2016,06,63,21,서울특별시
 2016,07,73,37,서울특별시
 2016,08,64,27,서울특별시
 2016,09,65,26,서울특별시
 2017,03,48,15,서울특별시
 2017,04,52,10,서울특별시
 2017,05,52,7,서울특별시
 2017,06,57,14,서울특별시
 2017,07,77,38,서울특별시
 2017,08,71,19,서울특별시
 2017,09,61,20,서울특별시
 2018,03,59,13,서울특별시
 2018,04,55,8,서울특별시
 2018,05,63,22,서울특별시
 2018,06,63,19,서울특별시
 2018,07,68,29,서울특별시
 2018,08,65,25,서울특별시
 2018,09,61,23,서울특별시
 2019,03,51,10,서울특별시
 2019,04,51,10,서울특별시
 2019,05,47,12,서울특별시
 2019,06,61,22,서울특별시
 2019,07,69,24,서울특별시
 2019,08,69,28,서울특별시
 2019,09,65,24,서울특별시
 2020,03,46,11,서울특별시
 2020,04,50,10,서울특별시
 2020,05,67,11,서울특별시
 2020,06,68,26,서울특별시
 2020,07,77,34,서울특별시
 2020,08,85,49,서울특별시
 2020,09,71,27,서울특별시
 2021,03,63,19,서울특별시
 2021,04,54,18,서울특별시
 2021,05,68,25,서울특별시
 2021,06,73,36,서울특별시
 2021,07,71,37,서울특별시
 2021,08,74,39,서울특별시
 2021,09,71,38,서울특별시
 2022,03,62,15,서울특별시
 2022,04,55,17,서울특별시
 2022,05,55,16,서울특별시
 2022,06,73,18,서울특별시
 2022,07,77,46,서울특별시
 2022,08,80,39,서울특별시
 2022,09,68,29,서울특별시
 1980,03,61,20,부산광역시
 1980,04,64,23,부산광역시
 1980,05,67,20,부산광역시
 1980,06,77,40,부산광역시
 1980,07,87,57,부산광역시
 1980,08,87,60,부산광역시
 1980,09,73,36,부산광역시
 1981,03,63,25,부산광역시
 1981,04,67,32,부산광역시
 1981,05,69,32,부산광역시
 1981,06,83,37,부산광역시
 1981,07,87,60,부산광역시
 1981,08,82,49,부산광역시
 1981,09,74,39,부산광역시
 1982,03,63,19,부산광역시
 1982,04,65,24,부산광역시
 1982,05,76,40,부산광역시
 1982,06,72,36,부산광역시
 1982,07,84,54,부산광역시
 1982,08,83,46,부산광역시
 1982,09,70,39,부산광역시
 1983,03,62,26,부산광역시
 1983,04,66,20,부산광역시
 1983,05,68,29,부산광역시
 1983,06,73,35,부산광역시
 1983,07,84,55,부산광역시
 1983,08,78,53,부산광역시
 1983,09,81,52,부산광역시
 1984,03,47,15,부산광역시
 1984,04,64,26,부산광역시
 1984,05,66,22,부산광역시
 1984,06,77,40,부산광역시
 1984,07,83,54,부산광역시
 1984,08,80,53,부산광역시
 1984,09,77,43,부산광역시
 1985,03,61,21,부산광역시
 1985,04,66,24,부산광역시
 1985,05,70,25,부산광역시
 1985,06,78,34,부산광역시
 1985,07,85,54,부산광역시
