년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤)
1994,부산광역시,0,0,0
1994,서울특별시,0,0,0
1994,인천광역시,0,0,0
1994,전라남도,236,1071,2528
1994,전라북도,966,1051,10150
1994,제주도,0,0,0
1994,충청남도,5087,1666,84731
1994,충청북도,5210,1234,64295
1995,강원도,464,864,4011
1995,경기도,1785,1112,19844
1995,경상남도,1965,1022,20075
1995,경상북도,34322,1421,487700
1995,광주광역시,0,0,0
1995,대구광역시,448,805,3606
1995,대전광역시,58,2184,1267
1995,부산광역시,0,0,0
1995,서울특별시,0,0,0
1995,인천광역시,5,1480,74
1995,전라남도,200,1195,2389
1995,전라북도,910,1246,11343
1995,제주도,0,0,0
1995,충청남도,4727,1802,85201
1995,충청북도,5219,1542,80472
1996,강원도,536,883,4731
1996,경기도,1198,911,10908
1996,경상남도,2487,1417,35231
1996,경상북도,28966,1514,438622
1996,광주광역시,0,0,0
1996,대구광역시,146,1536,2243
1996,대전광역시,47,1291,607
1996,부산광역시,0,0,0
1996,서울특별시,0,0,0
1996,인천광역시,14,1093,153
1996,전라남도,445,722,3212
1996,전라북도,1223,1622,19842
1996,제주도,0,0,0
1996,충청남도,4040,1556,62873
1996,충청북도,4755,1535,72984
1997,강원도,497,909,4517
1997,경기도,941,1005,9454
1997,경상남도,2539,1416,35951
1997,경상북도,26173,1688,441693
1997,광주광역시,0,0,0
1997,대구광역시,112,1971,2207
1997,대전광역시,47,1098,516
1997,부산광역시,0,0,0
1997,서울특별시,0,0,0
1997,인천광역시,14,1150,161
1997,전라남도,395,658,2601
1997,전라북도,1135,1578,17907
1997,제주도,0,0,0
1997,충청남도,3687,1811,66789
1997,충청북도,4455,1571,69982
1998,강원도,427,644,2750
1998,경기도,634,978,6200
1998,경상남도,2470,1205,29771
1998,경상북도,22241,1358,302075
1998,광주광역시,0,0,0
1998,대구광역시,102,1756,1791
1998,대전광역시,36,878,316
1998,부산광역시,0,0,0
1998,서울특별시,0,0,0
1998,울산광역시,27,867,234
1998,인천광역시,14,1179,165
1998,전라남도,380,318,1208
1998,전라북도,1000,1324,13244
1998,제주도,0,0,0
1998,충청남도,3450,1313,45301
1998,충청북도,3911,1431,55955
1999,강원도,335,1359,4554
1999,경기도,517,1271,6572
1999,경상남도,2347,1942,45584
1999,경상북도,20128,1541,310111
1999,광주광역시,1,0,0
1999,대구광역시,92,1982,1823
1999,대전광역시,34,1135,386
1999,부산광역시,0,0,0
1999,서울특별시,0,0,0
1999,울산광역시,23,752,173
1999,인천광역시,1,0,0
1999,전라남도,294,281,827
1999,전라북도,915,1422,13007
1999,제주도,0,0,0
1999,충청남도,2902,1703,49433
1999,충청북도,3490,1653,57682
2000,강원도,289,1395,4032
2000,경기도,450,1489,6701
2000,경상남도,2257,1903,42953
2000,경상북도,18754,1682,315424
2000,광주광역시,1,0,0
2000,대구광역시,90,1971,1774
2000,대전광역시,33,1470,485
2000,부산광역시,0,0,0
2000,서울특별시,0,0,0
2000,울산광역시,16,1881,301
2000,인천광역시,1,0,0
2000,전라남도,297,225,668
2000,전라북도,842,1522,12819
2000,제주도,0,0,0
2000,충청남도,2613,1700,44413
2000,충청북도,3420,1737,59390
2001,강원도,262,1250,3275
2001,경기도,381,1517,5778
2001,경상남도,2236,1949,43588
2001,경상북도,16854,1439,242561
2001,광주광역시,1,1200,12
2001,대구광역시,66,1330,878
2001,대전광역시,30,1247,374
2001,부산광역시,0,0,0
2001,서울특별시,0,0,0
2001,울산광역시,13,2362,307
