다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 보은,제천,청주,추풍령,충주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2011-05,187.5,569.63
 2011-06,193.5,592.53
 2011-07,98.0,443.54
 2011-08,110.4,411.12
 2011-09,177.2,446.12
 2012-03,198.4,411.25
 2012-04,234.4,523.98
 2012-05,259.4,627.37
 2012-06,229.8,597.52
 2012-07,197.4,507.19
 2012-08,183.1,448.50
 2012-09,196.1,427.46
 2013-03,255.5,400.05
 2013-04,224.5,402.15
 2013-05,250.3,523.31
 2013-06,230.5,492.81
 2013-07,141.3,422.86
 2013-08,231.5,571.50
 2013-09,177.3,431.63
 2014-03,216.9,479.67
 2014-04,225.1,564.90
 2014-05,305.8,770.01
 2014-06,199.7,577.77
 2014-07,178.8,540.87
 2014-08,132.0,410.30
 2014-09,202.1,455.75
 2015-03,270.7,531.91
 2015-04,187.5,435.06
 2015-05,296.3,714.56
 2015-06,245.8,560.86
 2015-07,182.8,492.47
 2015-08,228.8,521.84
 2015-09,234.7,472.14
 2016-03,244.2,478.80
 2016-04,220.5,507.17
 2016-05,288.5,690.28
 2016-06,238.0,578.26
 2016-07,192.2,537.69
 2016-08,248.9,580.45
 2016-09,163.9,370.46
 2017-03,251.2,491.10
 2017-04,265.9,563.55
 2017-05,312.1,680.16
 2017-06,273.7,653.34
 2017-07,140.2,450.85
 2017-08,198.4,498.29
 2017-09,234.1,481.65
 2018-03,215.9,467.92
 2018-04,241.4,557.56
 2018-05,238.5,621.00
 2018-06,245.0,644.32
 2018-07,272.2,640.76
 2018-08,228.6,554.85
 2018-09,210.8,465.75
 2019-03,242.1,487.95
 2019-04,214.7,513.53
 2019-05,312.1,752.38
 2019-06,256.8,649.38
 2019-07,185.7,538.86
 2019-08,233.4,589.93
 2019-09,168.3,411.52
 2020-03,244.1,539.12
 2020-04,286.3,654.61
 2020-05,229.5,651.87
 2020-06,204.0,619.12
 2020-07,118.7,456.18
 2020-08,151.8,494.10
 2020-09,184.4,468.57
 2021-03,220.4,471.41
 2021-04,229.3,591.76
 2021-05,200.8,561.32
 2021-06,205.9,612.12
 2021-07,232.2,653.71
 2021-08,149.0,473.90
 2021-09,185.5,450.48
 2022-03,192.0,440.26
 2022-04,274.1,629.81
 2022-05,329.2,795.09
 2022-06,188.4,599.84
 2022-07,196.1,579.59
 2022-08,132.2,450.23
 2022-09,213.6,512.29
 평균,219.6,515.95

