다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 광주
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2011-08,90.3,394.33
 2011-09,201.1,499.13
 2012-03,198.1,377.71
 2012-04,225.9,513.16
 2012-05,255.6,613.47
 2012-06,184.7,508.92
 2012-07,160.2,440.28
 2012-08,182.7,446.00
 2012-09,201.1,422.22
 2013-03,255.9,515.41
 2013-04,231.5,511.85
 2013-05,251.5,601.04
 2013-06,175.5,485.93
 2013-07,166.4,453.88
 2013-08,267.0,552.53
 2013-09,205.9,449.81
 2014-03,213.4,421.20
 2014-04,208.5,501.87
 2014-05,304.6,700.91
 2014-06,199.4,504.52
 2014-07,170.0,448.60
 2014-08,123.2,349.72
 2014-09,199.2,437.93
 2015-03,251.8,493.71
 2015-04,183.4,444.24
 2015-05,274.7,657.85
 2015-06,162.6,495.99
 2015-07,155.6,522.71
 2015-08,174.6,538.07
 2015-09,217.4,517.74
 2016-03,229.4,520.95
 2016-04,200.9,541.64
 2016-05,256.8,681.60
 2016-06,138.4,505.22
 2016-07,193.7,570.17
 2016-08,236.3,592.06
 2016-09,135.1,408.67
 2017-03,221.0,519.15
 2017-04,250.7,614.81
 2017-05,274.5,704.45
 2017-06,221.7,640.81
 2017-07,120.5,494.13
 2017-08,189.7,547.82
 2017-09,186.7,463.02
 2018-03,200.0,445.57
 2018-04,218.2,579.66
 2018-05,189.0,581.84
 2018-06,204.9,630.27
 2018-07,234.3,660.92
 2018-08,229.0,590.22
 2018-09,159.3,461.03
 2019-03,212.0,520.96
 2019-04,174.0,499.58
 2019-05,289.3,750.55
 2019-06,196.8,607.69
 2019-07,140.5,504.72
 2019-08,192.2,549.91
 2019-09,145.8,417.03
 2020-03,242.0,568.48
 2020-04,278.1,686.90
 2020-05,211.3,619.38
 2020-06,191.4,592.22
 2020-07,69.5,394.45
 2020-08,169.8,501.73
 2020-09,158.7,441.01
 2021-03,220.5,524.59
 2021-04,230.4,622.29
 2021-05,212.8,617.85
 2021-06,200.6,603.21
 2021-07,182.3,566.24
 2021-08,141.7,466.53
 2021-09,124.8,389.17
 2022-03,169.3,434.20
 2022-04,256.9,647.30
 2022-05,297.9,770.49
 2022-06,166.0,570.73
 2022-07,181.3,552.07
 2022-08,129.3,454.30
 2022-09,175.9,483.16
 평균,187.9,496.38

