다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 대전
,기간 : 1980 ~ 2022  03~09





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2012-05,239.2,666.34
 2012-06,228.6,582.25
 2012-07,196.3,498.88
 2012-08,194.0,488.63
 2012-09,192.2,443.80
 2013-03,259.2,539.62
 2013-04,227.7,529.82
 2013-05,264.5,673.26
 2013-06,213.9,624.08
 2013-07,153.1,478.41
 2013-08,260.9,618.27
 2013-09,193.6,468.12
 2014-03,220.2,491.93
 2014-04,225.0,576.59
 2014-05,307.8,784.28
 2014-06,201.0,605.21
 2014-07,183.1,562.78
 2014-08,126.3,423.95
 2014-09,206.2,504.35
 2015-03,264.2,568.51
 2015-04,179.3,492.20
 2015-05,297.3,769.22
 2015-06,220.0,643.91
 2015-07,188.9,555.59
 2015-08,228.5,598.80
 2015-09,241.6,547.91
 2016-03,238.3,537.44
 2016-04,219.7,587.62
 2016-05,289.4,759.29
 2016-06,221.9,643.42
 2016-07,202.9,578.85
 2016-08,256.0,633.30
 2016-09,146.8,415.88
 2017-03,247.6,550.58
 2017-04,268.3,649.01
 2017-05,303.0,761.27
 2017-06,276.1,730.94
 2017-07,146.0,486.61
 2017-08,194.6,553.00
 2017-09,223.9,537.02
 2018-03,202.6,491.91
 2018-04,234.0,523.88
 2018-05,226.4,665.57
 2018-06,232.3,683.76
 2018-07,254.8,666.20
 2018-08,220.5,599.59
 2018-09,196.7,492.13
 2019-03,216.9,488.53
 2019-04,202.4,548.21
 2019-05,297.8,759.89
 2019-06,228.5,671.80
 2019-07,181.7,566.06
 2019-08,230.1,601.30
 2019-09,153.2,430.36
 2020-03,258.0,570.79
 2020-04,301.3,711.35
 2020-05,239.9,677.69
 2020-06,209.7,609.37
 2020-07,95.9,428.51
 2020-08,176.8,498.20
 2020-09,196.3,481.31
 2021-03,208.5,449.53
 2021-04,228.7,553.13
 2021-05,203.1,526.04
 2021-06,217.7,565.42
 2021-07,232.1,590.14
 2021-08,152.7,421.52
 2021-09,167.5,401.14
 2022-03,172.9,419.36
 2022-04,250.3,614.78
 2022-05,310.9,770.32
 2022-06,177.7,566.31
 2022-07,162.2,542.22
 2022-08,115.7,424.22
 2022-09,184.7,495.28
 평균,197.3,506.70

