"시점",사과,사과,사과
"시점",면적 (ha),생산량 (M/T),단위생산량 (kg/10a)
"2012",117.0,1412.0,1206.8
"2013",116.8,1640.1,1404.2
"2014",110.0,1905.6,1732.4
"2015",105.0,1930.0,1838.0
"2016",104.1,1952.0,1875.1
"2017",84.6,1596.4,1887.0
"2018",51.8,881.0,1700.8
"2019",98,1914,1953
"2020",96.9,1715.9,1770.7
