"시점",사과,사과,사과
"시점",면적 (㏊),생산량 (M/T),단위생산량 (㎏/10a)
"2011",170.0,2475.0,1455.8
"2012",172.0,2551.2,1483.3
"2013",172.0,2682.0,1559.3
"2014",171.3,3021.2,1763.7
"2015",157.4,2949.9,1874.1
"2016",158.9,3159.0,1988.0
"2017",163.4,3168.1,1938.9
"2018",150.9,2911.5,1929.4
"2019",148.6,2765.7,1861.2
